feature,type,coefficient,odds_ratio
client01,client,0.748682528455519,2.1142127657961005
client02,client,-1.99789970409466,0.13561982608533366
client03,client,0.617019653250001,1.8533960394358642
client04,client,0.231343309627434,1.260291835508293
client05,client,1.32890504048811,3.776905563934782
client06,client,-1.00345830352472,0.36660939976349916
client07,client,-1.53796052344256,0.21481877281625905
client08,client,0.308649554592415,1.3615851256298561
client09,client,0.0045427833138521,1.004553117396544
client10,client,0.0475566703471673,1.0487056299494686
client11,client,0.784108413703236,2.1904530918897858
client12,client,0.0890126839122663,1.0930945209534038
client13,client,-0.93691891069696,0.39183325064599295
client14,client,0.738869193658523,2.0935667568787295
client15,client,0.542634844005437,1.720534234419535
client16,client,0.0349407528187474,1.0355583530686223
gru03,server,-0.419725379605617,0.6572272830501508
gru05,server,1.50701560606177,4.51324138523911
gru06,server,1.89741112954663,6.668607913649793
rnp_rj,server,-1.76176193558076,0.1717419987487206
rnp_sp,server,-1.22291143400819,0.29437187381393587
throughput_download,metric (mean),-0.0149537239207336,0.9851575277760788
throughput_upload,metric (mean),0.685886389314218,1.9855310092352307
rtt_download,metric (mean),-1.59205497528668,0.20350697992810726
rtt_upload,metric (mean),-0.619916969840608,0.5379891050614198
throughput_download_std,metric (standard deviation),-1.04130180079447,0.35299485374030576
throughput_upload_std,metric (standard deviation),0.185976635256794,1.2043941196895556
rtt_download_std,metric (standard deviation),-0.334556271693352,0.7156555725438937
rtt_upload_std,metric (standard deviation),0.905134639745135,2.4722647657480077
